"旧库公司ID","旧库名称","结论","对应启用招聘主体","主体范围说明","归属依据","旧招聘入口","本轮检查证据","以往检查证据"
"co_556782d0d8f96049f349","TTC","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/EMHw83IozNjgVtEdfI1I5A","unverified | 2026-09-17T15:49:43.782Z | artifacts/full-registry-review-20260917/verify-followups/co_556782d0d8f96049f349/verification.json
followup_links | 2026-09-17T15:30:52.798Z | artifacts/full-registry-review-20260917/discover-wechat/373d9d11b0cd7357/discovery.json",""
"co_4597545e5b89134c5a18","TU Music Lab","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/eYHwfQO3z-UVXqFxBCxykw","retrieved_no_api_link | 2026-09-17T15:30:53.549Z | artifacts/full-registry-review-20260917/discover-wechat/cc24a6da1e950425/discovery.json",""
"co_b98e847986dac75e414d","TYT泰永长征","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/1xwm0DzVMXWwjh2Ul1JDaA","retrieved_no_api_link | 2026-09-17T15:30:54.795Z | artifacts/full-registry-review-20260917/discover-wechat/91b6122b6a45b254/discovery.json",""
"co_63ccfbf89582a0bcf4e3","TÜV NORD","已关联启用招聘来源","TÜV NORD","主体已在启用来源中，核验时间见证据。","","https://wecruit.hotjob.cn/SU676e55546202cc219c4c8cd5/mc/position/campus","","artifacts/industry-expansion-20260917/verify-ats-1/manifest.json
artifacts/industry-expansion-20260917/verify-ats-1/co_63ccfbf89582a0bcf4e3/verification.json"
"co_24794ee52bc8d582706b","TÜV SÜD","本轮访问失败／受限","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://jobs-tuv-sud.ourats.com/req/campus?reqCustomField3Id=6","transport_error | 2026-09-17T15:28:59.483Z | artifacts/full-registry-review-20260917/discover-portal/853843efa59d1a5d/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_24794ee52bc8d582706b/verification.json"
"co_c8a32e08562bdceb5f94","TÜV莱茵","已关联启用招聘来源","TÜV莱茵","主体已在启用来源中，核验时间见证据。","Employer portal plus live API organization/body evidence support this source; publication type and coverage remain per JD.","https://mp.weixin.qq.com/s/soQW9yhoZNhHafgWrDhyWA","followup_links | 2026-09-17T15:30:55.997Z | artifacts/full-registry-review-20260917/discover-wechat/662f47b0ab283661/discovery.json
api_full_jd_proven | 2026-09-17T15:43:42.976Z | artifacts/full-registry-review-20260917/platform-recovery/batch-followups.json",""
"co_092260ed85ed2e357251","UA尤安设计","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/NzWetFLCXZlnsqUKGCtQmA","retrieved_no_api_link | 2026-09-17T15:30:57.380Z | artifacts/full-registry-review-20260917/discover-wechat/c94334cbb09d84b4/discovery.json",""
"co_65dce42afd0b71ee1687","UL Solutions","已关联启用招聘来源","UL Solutions","主体已在启用来源中，核验时间见证据。","Employer portal plus live API organization/body evidence support this source; publication type and coverage remain per JD.","http://campus.51job.com/ulsolutions/job.html
https://campus.51job.com/ulsolutions/job.html
https://mp.weixin.qq.com/s/3QznUPcEXuRgbSeA2fUYRg
https://mp.weixin.qq.com/s/EXfnELdZgX8qJeLAB6ZrIQ","followup_links | 2026-09-17T15:30:58.974Z | artifacts/full-registry-review-20260917/discover-wechat/55cb8d36939cf578/discovery.json
retrieved_no_api_link | 2026-09-17T15:31:04.966Z | artifacts/full-registry-review-20260917/discover-wechat/5df608cda1b0bc9e/discovery.json
api_full_jd_proven | 2026-09-17T15:28:12.690Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json
api_full_jd_proven | 2026-09-17T15:28:12.585Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_a2ee0656b43637dc5ef0","Unity中国","已关联启用招聘来源","Unity中国","主体已在启用来源中，核验时间见证据。","","https://recruiting.unity.cn/982864","",""
"co_dabb44383103d07867d4","Unity中国-商业定向培养计划","已关联启用招聘来源","Unity中国","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","保存的官方门户组织信息、API 配置与现有主体一致；专项/补录或旧业务名称不另计公司。","https://recruiting.unity.cn/982864?keywords=&category=&location=&project=7554286187838785801&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=","verified_api_full_jd | 2026-09-17T15:38:49.034Z | artifacts/full-registry-review-20260917/verify-portal-ats/co_dabb44383103d07867d4/verification.json
observed_ats_links | 2026-09-17T15:28:59.592Z | artifacts/full-registry-review-20260917/discover-portal/2155cf007f40fd02/discovery.json",""
"co_4b250a1c96539b48dc3d","Unity中国-引擎研发校招储备计划","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://recruiting.unity.cn/982864","unverified | 2026-09-17T15:38:56.281Z | artifacts/full-registry-review-20260917/verify-portal-ats/co_4b250a1c96539b48dc3d/verification.json
observed_ats_links | 2026-09-17T15:28:59.655Z | artifacts/full-registry-review-20260917/discover-portal/786bb4760d346d30/discovery.json",""
"co_4986247086fa3cd1ffd7","UPM","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.moseeker.com/positions/index/cid/4130946?employment_type=3&position_field3=1122","retrieved_no_api_link | 2026-09-17T15:28:59.938Z | artifacts/full-registry-review-20260917/discover-portal/9acef85b2d82ddec/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_4986247086fa3cd1ffd7/verification.json"
"co_7dac4e4e931bd0a95cd9","UPM芬欧汇川","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.moseeker.com/positions/index/cid/4130946?employment_type=3&position_field3=1122","retrieved_no_api_link | 2026-09-17T15:28:59.938Z | artifacts/full-registry-review-20260917/discover-portal/9acef85b2d82ddec/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_7dac4e4e931bd0a95cd9/verification.json"
"co_baeca820a6a610681ff1","Uranus Research","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/k7T0s7DhP4LzeO5bH70bEg","retrieved_no_api_link | 2026-09-17T15:31:05.051Z | artifacts/full-registry-review-20260917/discover-wechat/9ffbcfd226f6d9e3/discovery.json",""
"co_c44726018c3c6042da13","Uranus Research天王星量化","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/k7T0s7DhP4LzeO5bH70bEg","retrieved_no_api_link | 2026-09-17T15:31:05.051Z | artifacts/full-registry-review-20260917/discover-wechat/9ffbcfd226f6d9e3/discovery.json",""
"co_375eca5944bc3c254740","VAST","已关联启用招聘来源","VAST","主体已在启用来源中，核验时间见证据。","","https://tripo3d.com/vstar","",""
"co_6497d8cdc9fb7e10c14e","Vbot维他动力","已关联启用招聘来源","Vbot维他动力","主体已在启用来源中，核验时间见证据。","","https://vitadynamics.jobs.feishu.cn/501772","","../hardware-auto-campus-job-fit/artifacts/source-validation/long-tail/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/long-tail/verified/co_6497d8cdc9fb7e10c14e/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_2a5bd7de4723a0e3682e","VeSync","已关联启用招聘来源","VeSync","主体已在启用来源中，核验时间见证据。","","https://vesync.zhiye.com/campus/jobs","","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_2a5bd7de4723a0e3682e/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_50854678ed274b8511ba","VF威富亚太区","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/CNM_lP6rkiNRrKp3jyGkMQ","retrieved_no_api_link | 2026-09-17T15:31:05.054Z | artifacts/full-registry-review-20260917/discover-wechat/f59377d7eaa9f72d/discovery.json",""
"co_e759968ca9278b8dde9f","Visa","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/9KGFYMjGEIraSKJImcLkFA","retrieved_no_api_link | 2026-09-17T15:31:05.056Z | artifacts/full-registry-review-20260917/discover-wechat/70c12e403c0c7f57/discovery.json",""
"co_833eb10b2d3d78553314","Visa-技术类","已关联启用招聘来源","Visa","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","官方详情 API company.name/identifier 均为 Visa，职责与要求完整；旧候选“技术类”只是岗位类别，归 Visa 主体。active=false、visibility=INTERNAL，仅关闭的历史能力证据，不计当前岗位/校招/城市标签。","https://jobs.smartrecruiters.com/Visa/744000035794608-intern","api_empty | 2026-09-17T15:51:10.612Z | artifacts/full-registry-review-20260917/verify-international-gap/co_833eb10b2d3d78553314/verification.json
verified_api_full_jd | 见原始记录 | artifacts/full-registry-review-20260917/identity-international.json","artifacts/industry-expansion-20260917/verify-international/manifest.json
artifacts/industry-expansion-20260917/verify-international/co_833eb10b2d3d78553314/verification.json"
"co_7b647ad3351583187ba3","VIVA","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/InnQ3vr9E166U_hQVQDZ5A","retrieved_no_api_link | 2026-09-17T15:31:05.058Z | artifacts/full-registry-review-20260917/discover-wechat/6ae218505a2a69c0/discovery.json",""
"co_69337578b2468a881543","vivo","已关联启用招聘来源","vivo","主体已在启用来源中，核验时间见证据。","","https://hr-campus.vivo.com/campus/jobs
https://hr-campus.vivo.com/intern/jobs
https://hr-campus.vivo.com/jobs?1=%5B%7B%22id%22%3A%223%22%2C%22label%22%3A%22%E6%98%A5%E5%AD%A3%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98%22%7D%5D
https://hr-campus.vivo.com/jobs?1=%5B%7B%22id%22%3A%228%22%2C%22label%22%3A%22%E6%9A%91%E6%9C%9F%E5%AE%9E%E4%B9%A0%E7%94%9F%22%7D%5D","","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_69337578b2468a881543/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/sites-extra/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/sites/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/sites/co_69337578b2468a881543/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/sites-extra/co_69337578b2468a881543/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_69337578b2468a881543/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_34b89d7bafc49cd421a4","vivo-物流与制造领域专场","已关联启用招聘来源","vivo","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://mp.weixin.qq.com/s/0kIa7l9gck8aw27isE1Arw","",""
"co_329a65482043b1dc5290","vivo 产品总经理储备计划","已关联启用招聘来源","vivo","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://hr-campus.vivo.com/jobs?1=%5B%7B%22id%22%3A%2213%22%2C%22label%22%3A%22%E4%BA%A7%E5%93%81%E6%80%BB%E7%BB%8F%E7%90%86%E5%82%A8%E5%A4%87%E8%AE%A1%E5%88%92%22%7D%5D","",""
"co_2a291a555bf786802c26","vivo广西","已关联启用招聘来源","vivo","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://vivogx.zhiye.com/campus/jobs
https://vivogx.zhiye.com/intern/jobs?queryId=c01060f0-1207-41ca-be72-c8d7558d8c8e","",""
"co_3d8f0c3bca0635842dcd","vivo影像-转正实习","已关联启用招聘来源","vivo","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://hr-campus.vivo.com/intern/jobs","",""
"co_cf0ed38733daa81c324a","vivo苏皖","已关联启用招聘来源","vivo","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://vivojsft.zhiye.com/campus/jobs
https://xiaoyuan.zhaopin.com/company/KA0891497775D90000001000","no_api_discovered | 2026-09-17T15:22:23.591Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_bac6501d8de2c6f41572","vivo蓝极星计划","已关联启用招聘来源","vivo","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://hr-campus.vivo.com/custom/lanjixing
https://hr-campus.vivo.com/jobs?1=%5B%7B%22id%22%3A%221%22%2C%22label%22%3A%22%E8%93%9D%E6%9E%81%E6%98%9F%E8%AE%A1%E5%88%92%22%7D%5D","",""
"co_215c1ac6edcc5b95d41f","vivo首届产品经理管培生","已关联启用招聘来源","vivo","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://hr-campus.vivo.com/campus/jobs","",""
"co_bd85b15803ea4988290c","Voyage启航者","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://careers.marriott.com/career-journeys/early-careers/jobs?filter%5Bcountry%5D%5B0%5D=China&keyword=Voyage","unverified | 2026-09-17T15:47:22.082Z | artifacts/full-registry-review-20260917/verify-followups/co_bd85b15803ea4988290c/verification.json
followup_links | 2026-09-17T15:29:00.235Z | artifacts/full-registry-review-20260917/discover-portal/a383e25d6e991d65/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_bd85b15803ea4988290c/verification.json"
"co_2b69a0a5b0ae2fe79193","V·SOL芯德科技","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/1ilGUTnjFnZN5UDTpi-ReA
https://mp.weixin.qq.com/s/edXHJeIwaKUkHZkAFRBQOg","retrieved_no_api_link | 2026-09-17T15:31:05.061Z | artifacts/full-registry-review-20260917/discover-wechat/2aa538ecc55d91c3/discovery.json
retrieved_no_api_link | 2026-09-17T15:31:05.065Z | artifacts/full-registry-review-20260917/discover-wechat/69f24c974ee2e910/discovery.json",""
"co_e1126a34d43e3c707d18","V·SOL芯德科技-补录","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/lVG7YsA7COJHg5hwLOI-uw","retrieved_no_api_link | 2026-09-17T15:31:05.066Z | artifacts/full-registry-review-20260917/discover-wechat/2dd2c55103e57131/discovery.json",""
"co_ebe0c60ff52f4c57560d","WebEye","已关联启用招聘来源","WebEye","主体已在启用来源中，核验时间见证据。","","https://webeye.jobs.feishu.cn/campus/position/list","",""
"co_17a26d3d41bbdde030e5","WELLMAX昭关照明","完整JD可读但主体待核实／错链","","Moka 平台页脚错链：orgId=moka、公开门户 title=Moka 北京希瑞亚斯科技有限公司 - 社会招聘，不能视为原公司 API 通过。","","https://bit.ly/wellmax-uni-recruit","verified_api_full_jd | 2026-09-17T15:49:39.455Z | artifacts/full-registry-review-20260917/verify-followups/co_17a26d3d41bbdde030e5/verification.json
followup_links | 2026-09-17T15:29:00.446Z | artifacts/full-registry-review-20260917/discover-portal/f7fad4022411a3b5/discovery.json",""
"co_794ffb208451a84df2a3","Wind万得","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.wind.com.cn/portal/zh/JoinUs/recruit.html?positionType=9002","retrieved_no_api_link | 2026-09-17T15:29:00.515Z | artifacts/full-registry-review-20260917/discover-portal/36944aeec9f89b15/discovery.json","artifacts/deep-source-review/platforms/manifest.json
artifacts/deep-source-review/combined-manifest.json"
"co_15fd0a233e52899e5d86","Xmind","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/gwKdFfrTHb2WxdEHhyGM3g","retrieved_no_api_link | 2026-09-17T15:31:09.320Z | artifacts/full-registry-review-20260917/discover-wechat/c5214b8e5b31cb0d/discovery.json",""
"co_89a0709d78fbcc62a4bf","xTool","已关联启用招聘来源","xTool","主体已在启用来源中，核验时间见证据。","","https://xtool.jobs.feishu.cn/index/position/list?keywords=%E5%AE%9E%E4%B9%A0&category=&location=&project=&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=","","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_89a0709d78fbcc62a4bf/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_9535d45ae917c68895de","XTransfer","已关联启用招聘来源","XTransfer","主体已在启用来源中，核验时间见证据。","","https://neitui.italent.cn/xtransfer/sharejobs/detail?shareId=aecef19d-a9c9-4a27-8ce0-d03203ac9a6b&language=zh_CN#/pc-wechat-page
https://xtransfer.zhiye.com/jobs","","artifacts/industry-expansion-20260917/verify-ats-2/manifest.json
artifacts/industry-expansion-20260917/verify-ats-2/co_9535d45ae917c68895de/verification.json"
"co_5af2762755afe20da8ce","XUEGE品牌","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/5auA7FPxwN0ZxUANYkjBSQ","retrieved_no_api_link | 2026-09-17T15:31:09.327Z | artifacts/full-registry-review-20260917/discover-wechat/a8caae0a4b00bd60/discovery.json",""
"co_ab06fd977b9bcd7aedac","XYX Materials福建鑫源欣纺织有限公司","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/3p6A2_T5aoVoVXP8F0HqBg","retrieved_no_api_link | 2026-09-17T15:31:09.465Z | artifacts/full-registry-review-20260917/discover-wechat/b5dd310dc0387a6e/discovery.json",""
"co_5c01a2d3f9e541da150a","Yarbo汉阳科技","已关联启用招聘来源","汉阳科技","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://mp.weixin.qq.com/s/1AbO7c16MXjEpmf5tAp2zA","","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_5c01a2d3f9e541da150a/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json"
"co_b82666e8ec3f6bddf27e","ZEGO即构","API当前为空","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://zegocloud.jobs.feishu.cn/239170","api_empty | 2026-09-17T15:27:04.972Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_b82666e8ec3f6bddf27e/verification.json","artifacts/deep-source-review/software/manifest.json
artifacts/deep-source-review/combined-manifest.json"
"co_a1a21d81cc1164b3f458","ZENO芝诺机器人","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/CN6QZAUvwm2HQj4fRLTLMA","unverified | 2026-09-17T15:49:42.494Z | artifacts/full-registry-review-20260917/verify-followups/co_a1a21d81cc1164b3f458/verification.json
followup_links | 2026-09-17T15:31:09.564Z | artifacts/full-registry-review-20260917/discover-wechat/33372ce8b5ad4edb/discovery.json","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_a1a21d81cc1164b3f458/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_a1a21d81cc1164b3f458/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_b828a90e27d753e60d87","ZF LIFETEC","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://zf-lifetec.tupu360.com/pageQrCode?targetUrl=a7f4739eb94ec9efce511f93b6b40f8b78daa185c8896392b811dab3e5492e33a749322c5225610ab05cd532ea8df35213085f63a2c5462c07f8c164e9abdc332decd956bc38e404f98a5854fe58263a960501dacadeb1cabbc418096cd782b7905fd0fdeeb","retrieved_no_api_link | 2026-09-17T15:29:00.585Z | artifacts/full-registry-review-20260917/discover-portal/ecae7b6a355c5cbd/discovery.json",""
"co_ed22f688c82557d534b5","ZHR则则","API返回岗位但未证实完整JD","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://zhr08.zhiye.com/campus/jobs","api_incomplete | 2026-09-17T15:25:42.160Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_ed22f688c82557d534b5/verification.json",""
"co_7da56e9c6c7f5d10db83","ZIONEER吉翼具身智能","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/PSIFID87SztRuHXad7hveA","retrieved_no_api_link | 2026-09-17T15:31:11.753Z | artifacts/full-registry-review-20260917/discover-wechat/a2bc17b03080b5cf/discovery.json",""
"co_f2f621cf608831f33df5","Z Partners","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/DLoq22qoRYvjvvDiiRG-FQ","retrieved_no_api_link | 2026-09-17T15:31:11.779Z | artifacts/full-registry-review-20260917/discover-wechat/8c2263e689a995c2/discovery.json",""
"co_32582c055481a5323b2d","ZS致盛咨询","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://jobs.zs.com/all/jobs/23035?lang=en-us
https://jobs.zs.com/all/jobs/23890?lang=en-us","unverified | 2026-09-17T15:42:49.843Z | artifacts/full-registry-review-20260917/verify-followups/co_32582c055481a5323b2d/verification.json
http_error | 2026-09-17T15:29:00.779Z | artifacts/full-registry-review-20260917/discover-portal/0623640d722f61cf/discovery.json
transport_error | 2026-09-17T15:29:00.983Z | artifacts/full-registry-review-20260917/discover-portal/a21311d78ba955de/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_32582c055481a5323b2d/verification.json"
"co_0851efb989f0da576876","ZS致盛管理咨询","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/UxCe2CSD5u00R3QT6bFXHQ","retrieved_no_api_link | 2026-09-17T15:31:12.184Z | artifacts/full-registry-review-20260917/discover-wechat/04802251673eb89e/discovery.json",""
"co_61526b1710bbf9be49e4","ZUCZUG","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/K08iU1t7hkYPEVnJ_v6uTA","retrieved_no_api_link | 2026-09-17T15:31:13.133Z | artifacts/full-registry-review-20260917/discover-wechat/b15dac32f07a44d2/discovery.json",""
"co_617aaf94cfbc6319c836","ZURU","已关联启用招聘来源","ZURU","主体已在启用来源中，核验时间见证据。","大易完整 JD 的结构化 company=ZURU，产品研发/玩具相关部门及岗位。","https://zuru.gllue.com/portal/1/campusposition/list
https://zuru.gllue.com/portal/1/campusposition/list?gql=employmentType%3DOnsite&page=1
https://zururecruit.cn/","unverified | 2026-09-17T15:43:17.593Z | artifacts/full-registry-review-20260917/verify-followups/co_617aaf94cfbc6319c836/verification.json
verified_api_full_jd | 2026-09-17T15:38:49.971Z | artifacts/full-registry-review-20260917/verify-portal-ats/co_617aaf94cfbc6319c836/verification.json
observed_ats_links | 2026-09-17T15:29:01.367Z | artifacts/full-registry-review-20260917/discover-portal/27921aee41382355/discovery.json
http_error | 2026-09-17T15:29:01.335Z | artifacts/full-registry-review-20260917/discover-portal/c480544e4000077c/discovery.json
http_error | 2026-09-17T15:29:01.155Z | artifacts/full-registry-review-20260917/discover-portal/f3c1d4e199822a07/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_617aaf94cfbc6319c836/verification.json"
"co_c82dd6c3d2ec6a08d86f","《中华商标》杂志社","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/S76gSOTK6NajHU013H7DzQ","retrieved_no_api_link | 2026-09-17T15:31:14.082Z | artifacts/full-registry-review-20260917/discover-wechat/34307bda89482973/discovery.json",""
"co_a5604893cb81b6bb5012","《中国中医药报》社有限公司","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/9xAu9_u8KWjyzPpxGZYFXw","unreadable_article | 2026-09-17T15:31:14.089Z | artifacts/full-registry-review-20260917/discover-wechat/703a37fee528f967/discovery.json",""
"co_3f864c2e045526e1dd0c","《中国网信》杂志","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/VzWM2YLyPbtSMxBFZbq-UA","retrieved_no_api_link | 2026-09-17T15:31:14.478Z | artifacts/full-registry-review-20260917/discover-wechat/b0d1fb04d7284590/discovery.json",""
"co_43ba7266b9294253262d","《人民铁道》报业有限公司","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://rczp.china-railway.com.cn/page/platform/company_info_del.html?parentId=401&jmetazpxxid=11094","retrieved_no_api_link | 2026-09-17T15:29:02.194Z | artifacts/full-registry-review-20260917/discover-portal/e694cb6c12484d7f/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_43ba7266b9294253262d/verification.json"
"co_97a5a2f24bc7d494734d","《新华智库研究》编辑部","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/lx7AWtrgYlGMR_BOmU-Waw","retrieved_no_api_link | 2026-09-17T15:31:15.397Z | artifacts/full-registry-review-20260917/discover-wechat/bd7fb4365ece1c7d/discovery.json",""
